国家/地区,点击次数,展示,点击率,排名
西班牙,2,397,0.5%,71.67
日本,2,371,0.54%,54.93
俄罗斯,2,312,0.64%,48.67
加拿大,2,96,2.08%,65.41
墨西哥,1,306,0.33%,69.73
印度,1,91,1.1%,44.45
印度尼西亚,1,20,5%,41.65
菲律宾,1,19,5.26%,39.84
厄瓜多尔,1,18,5.56%,56.72
巴西,0,2269,0%,68.07
法国,0,1052,0%,66.54
美国,0,727,0%,66.49
德国,0,600,0%,58.69
意大利,0,193,0%,58.61
韩国,0,128,0%,51.84
台湾,0,113,0%,51.01
阿根廷,0,88,0%,65.44
秘鲁,0,87,0%,67.23
哥伦比亚,0,85,0%,64.53
乌克兰,0,79,0%,44.35
智利,0,64,0%,62.41
澳大利亚,0,54,0%,66.52
英国,0,51,0%,60.18
中国香港,0,33,0%,56.7
埃及,0,29,0%,53.07
委内瑞拉,0,28,0%,49.86
沙特阿拉伯,0,25,0%,42.12
荷兰,0,22,0%,39.64
哈萨克斯坦,0,16,0%,26.12
瑞士,0,15,0%,61.73
摩洛哥,0,14,0%,43.64
马来西亚,0,14,0%,52.57
奥地利,0,14,0%,58.86
越南,0,13,0%,42.85
阿拉伯联合酋长国,0,12,0%,43.42
比利时,0,11,0%,14.64
土耳其,0,11,0%,31.09
白俄罗斯,0,10,0%,16.4
玻利维亚,0,10,0%,39.8
泰国,0,10,0%,49.2
阿尔及利亚,0,9,0%,50.11
巴基斯坦,0,9,0%,59.78
叙利亚,0,8,0%,9.38
葡萄牙,0,8,0%,39.62
多米尼加共和国,0,7,0%,32.14
以色列,0,7,0%,42.86
危地马拉,0,7,0%,54.57
巴拿马,0,7,0%,61.14
萨尔瓦多,0,7,0%,71.29
瑞典,0,6,0%,65.83
马达加斯加,0,5,0%,13.4
突尼斯,0,5,0%,35.2
拉脱维亚,0,5,0%,38
伊拉克,0,5,0%,48.4
哥斯达黎加,0,5,0%,54.8
波兰,0,5,0%,62.8
新加坡,0,4,0%,22.5
匈牙利,0,4,0%,48.75
乌拉圭,0,4,0%,73.75
尼加拉瓜,0,4,0%,78.25
尼泊尔,0,3,0%,7
也门,0,3,0%,8.67
中国,0,3,0%,9.33
南非,0,3,0%,18
孟加拉,0,3,0%,28
保加利亚,0,3,0%,30
希腊,0,3,0%,31
利比亚,0,3,0%,43.33
巴拉圭,0,3,0%,43.33
约旦,0,3,0%,59.33
捷克,0,3,0%,59.67
塞内加尔,0,3,0%,64.33
新西兰,0,3,0%,67.67
澳门,0,2,0%,8
未知地区,0,2,0%,8
格鲁吉亚,0,2,0%,9.5
卢森堡,0,2,0%,9.5
洪都拉斯,0,2,0%,10
立陶宛,0,2,0%,14.5
卡塔尔,0,2,0%,35
亚美尼亚,0,2,0%,36
马耳他,0,2,0%,40
缅甸,0,2,0%,46.5
肯尼亚,0,2,0%,48.5
斯洛伐克,0,2,0%,50.5
摩尔多瓦,0,2,0%,57
爱尔兰,0,2,0%,60
喀麦隆,0,2,0%,69.5
芬兰,0,2,0%,91
乌兹别克斯坦,0,1,0%,2
罗马尼亚,0,1,0%,4
马里,0,1,0%,5
巴勒斯坦,0,1,0%,7
津巴布韦,0,1,0%,7
波斯尼亚和黑塞哥维那,0,1,0%,10
丹麦,0,1,0%,10
柬埔寨,0,1,0%,11
乌干达,0,1,0%,11
黎巴嫩,0,1,0%,21
科威特,0,1,0%,25
阿塞拜疆,0,1,0%,29
圣卢西亚,0,1,0%,44
卢旺达,0,1,0%,58
埃塞俄比亚,0,1,0%,68
海地,0,1,0%,75
坦桑尼亚,0,1,0%,75
安哥拉,0,1,0%,77
