国家/地区,点击次数,展示,点击率,排名
日本,1,148,0.68%,50.04
俄罗斯,1,130,0.77%,37.33
墨西哥,1,86,1.16%,61.81
加拿大,1,58,1.72%,64.81
菲律宾,1,7,14.29%,26.57
厄瓜多尔,1,4,25%,49.75
巴西,0,805,0%,69.97
法国,0,226,0%,52.73
美国,0,220,0%,64.35
德国,0,174,0%,37.22
西班牙,0,104,0%,68.88
韩国,0,44,0%,38.7
意大利,0,38,0%,45.03
台湾,0,34,0%,33.74
印度,0,31,0%,37.03
英国,0,29,0%,58.55
澳大利亚,0,24,0%,65.04
乌克兰,0,22,0%,30.77
智利,0,16,0%,59.06
哥伦比亚,0,15,0%,44.4
荷兰,0,14,0%,30.43
秘鲁,0,12,0%,48.92
阿根廷,0,12,0%,57.17
委内瑞拉,0,10,0%,37.1
摩洛哥,0,8,0%,36.25
印度尼西亚,0,8,0%,45.12
中国香港,0,8,0%,48.5
埃及,0,8,0%,55.88
哈萨克斯坦,0,6,0%,20.67
以色列,0,6,0%,36.5
比利时,0,5,0%,8.8
土耳其,0,5,0%,18.8
沙特阿拉伯,0,5,0%,22
马来西亚,0,5,0%,43.8
玻利维亚,0,5,0%,47
奥地利,0,5,0%,61.4
白俄罗斯,0,4,0%,9
阿尔及利亚,0,4,0%,29
多米尼加共和国,0,4,0%,39.75
阿拉伯联合酋长国,0,4,0%,44.75
瑞士,0,4,0%,54
巴基斯坦,0,4,0%,58.75
波兰,0,4,0%,59
泰国,0,4,0%,61.25
也门,0,3,0%,8.67
叙利亚,0,3,0%,10
越南,0,3,0%,46.67
瑞典,0,3,0%,53
葡萄牙,0,3,0%,64.33
保加利亚,0,2,0%,8
未知地区,0,2,0%,8
格鲁吉亚,0,2,0%,9.5
洪都拉斯,0,2,0%,10
马达加斯加,0,2,0%,10
匈牙利,0,2,0%,24.5
巴拉圭,0,2,0%,30
突尼斯,0,2,0%,34
亚美尼亚,0,2,0%,36
新加坡,0,2,0%,36.5
希腊,0,2,0%,42
肯尼亚,0,2,0%,48.5
斯洛伐克,0,2,0%,50.5
摩尔多瓦,0,2,0%,57
巴拿马,0,2,0%,74
乌兹别克斯坦,0,1,0%,2
孟加拉,0,1,0%,10
波斯尼亚和黑塞哥维那,0,1,0%,10
丹麦,0,1,0%,10
拉脱维亚,0,1,0%,10
中国,0,1,0%,11
乌干达,0,1,0%,11
立陶宛,0,1,0%,20
科威特,0,1,0%,25
阿塞拜疆,0,1,0%,29
塞内加尔,0,1,0%,38
爱尔兰,0,1,0%,42
卢旺达,0,1,0%,58
埃塞俄比亚,0,1,0%,68
马耳他,0,1,0%,69
新西兰,0,1,0%,75
缅甸,0,1,0%,76
利比亚,0,1,0%,92
萨尔瓦多,0,1,0%,99
尼加拉瓜,0,1,0%,141
