日期,点击次数,展示,点击率,排名
2026-03-26,1,322,0.31%,61.5
2026-03-27,0,235,0%,63.1
2026-03-28,0,321,0%,67.1
2026-03-29,0,325,0%,64.7
2026-03-30,1,294,0.34%,61.6
2026-03-31,0,272,0%,51.8
2026-04-01,0,302,0%,48.7
2026-04-02,1,448,0.22%,62.6
2026-04-03,2,561,0.36%,62.7
2026-04-04,0,279,0%,58.7
2026-04-05,1,271,0.37%,54.6
2026-04-06,0,296,0%,49.1
2026-04-07,1,328,0.3%,47.9
2026-04-08,1,251,0.4%,52.3
2026-04-09,0,496,0%,52.8
2026-04-10,0,270,0%,46.8
2026-04-11,2,269,0.74%,49.6
2026-04-12,0,287,0%,47.8
2026-04-13,1,307,0.33%,47.6
2026-04-14,1,251,0.4%,49.3
2026-04-15,1,453,0.22%,53.9
2026-04-16,1,394,0.25%,49.5
2026-04-17,0,940,0%,61
2026-04-18,0,392,0%,54
2026-04-19,0,506,0%,58.1
2026-04-20,2,455,0.44%,54.3
2026-04-21,3,720,0.42%,57.3
2026-04-22,3,648,0.46%,59.2
