国家/地区,点击次数,展示,点击率,排名
俄罗斯,5,700,0.71%,40.93
日本,4,839,0.48%,49.2
也门,4,29,13.79%,8.79
美国,3,2195,0.14%,50.3
韩国,3,352,0.85%,41.1
台湾,3,234,1.28%,49
法国,2,2789,0.07%,58.15
西班牙,2,1715,0.12%,68.26
印度,2,212,0.94%,48.66
加拿大,2,200,1%,58.95
印度尼西亚,2,49,4.08%,46.31
巴西,1,4082,0.02%,63.26
意大利,1,864,0.12%,59.74
墨西哥,1,791,0.13%,65.44
哥伦比亚,1,251,0.4%,63.93
厄瓜多尔,1,63,1.59%,56.32
埃及,1,57,1.75%,50.82
沙特阿拉伯,1,51,1.96%,46.69
菲律宾,1,50,2%,48.72
马来西亚,1,36,2.78%,50.83
新加坡,1,27,3.7%,57.37
中国,1,23,4.35%,24.09
波多黎各,1,12,8.33%,24.58
新西兰,1,12,8.33%,44.17
德国,0,1464,0%,60.72
乌克兰,0,271,0%,40.83
阿根廷,0,243,0%,62.28
秘鲁,0,207,0%,61.5
英国,0,188,0%,63.1
智利,0,141,0%,60.03
摩洛哥,0,107,0%,35.74
荷兰,0,97,0%,48.08
澳大利亚,0,89,0%,63.72
葡萄牙,0,85,0%,47.55
委内瑞拉,0,77,0%,53.74
比利时,0,68,0%,25.56
中国香港,0,68,0%,49.59
白俄罗斯,0,66,0%,19.97
叙利亚,0,63,0%,10.03
巴基斯坦,0,56,0%,58.18
奥地利,0,54,0%,58.98
瑞士,0,50,0%,54.74
土耳其,0,40,0%,48.62
越南,0,40,0%,49.65
阿尔及利亚,0,36,0%,35.86
玻利维亚,0,35,0%,49.29
孟加拉,0,33,0%,59.76
以色列,0,30,0%,55.87
突尼斯,0,27,0%,37.11
哥斯达黎加,0,27,0%,64.89
哈萨克斯坦,0,26,0%,28.69
泰国,0,25,0%,53.76
巴拿马,0,25,0%,58
阿拉伯联合酋长国,0,24,0%,53.21
波兰,0,23,0%,34.13
乌拉圭,0,23,0%,63.09
危地马拉,0,22,0%,58.09
洪都拉斯,0,21,0%,53.05
巴拉圭,0,20,0%,68.05
马达加斯加,0,18,0%,18.33
肯尼亚,0,18,0%,58.33
尼加拉瓜,0,18,0%,64.28
萨尔瓦多,0,18,0%,68.44
瑞典,0,16,0%,50.62
罗马尼亚,0,14,0%,37.86
多米尼加共和国,0,14,0%,41.5
匈牙利,0,13,0%,43
拉脱维亚,0,12,0%,32.5
挪威,0,12,0%,49.25
爱尔兰,0,12,0%,49.92
伊拉克,0,11,0%,30.91
巴勒斯坦,0,11,0%,31.64
捷克,0,11,0%,51.27
约旦,0,11,0%,59
尼日利亚,0,11,0%,67.18
保加利亚,0,10,0%,15.7
柬埔寨,0,10,0%,42.6
阿曼,0,10,0%,42.6
喀麦隆,0,10,0%,43.6
塞尔维亚,0,10,0%,43.6
希腊,0,10,0%,48.1
斯里兰卡,0,10,0%,55.3
塞内加尔,0,10,0%,68.6
芬兰,0,9,0%,49.22
尼泊尔,0,9,0%,51
黎巴嫩,0,9,0%,71.22
科威特,0,8,0%,32.88
丹麦,0,8,0%,44
卡塔尔,0,8,0%,64
立陶宛,0,7,0%,22.29
安哥拉,0,7,0%,41.43
安道尔,0,7,0%,69.29
未知地区,0,6,0%,9.17
南非,0,6,0%,12.33
格鲁吉亚,0,6,0%,31.33
埃塞俄比亚,0,6,0%,48.33
科特迪瓦,0,6,0%,51.83
斯洛伐克,0,6,0%,58.67
阿塞拜疆,0,5,0%,35
缅甸,0,5,0%,50.8
斯洛文尼亚,0,5,0%,58
阿尔巴尼亚,0,5,0%,59.8
加纳,0,5,0%,72.8
克罗地亚,0,5,0%,72.8
莫桑比克,0,4,0%,7.25
卢森堡,0,4,0%,9.25
塞浦路斯,0,4,0%,37.25
波斯尼亚和黑塞哥维那,0,4,0%,50.75
巴林,0,4,0%,76.5
特立尼达和多巴哥,0,4,0%,80.75
吉尔吉斯斯坦,0,3,0%,7.67
海地,0,3,0%,29.33
津巴布韦,0,3,0%,39.33
利比亚,0,3,0%,43.33
马耳他,0,3,0%,47
留尼汪岛,0,3,0%,104
马其顿,0,2,0%,5.5
澳门,0,2,0%,8
亚美尼亚,0,2,0%,36
乌干达,0,2,0%,49
摩尔多瓦,0,2,0%,57
刚果 - 金沙萨,0,2,0%,60.5
爱沙尼亚,0,2,0%,61
佛得角,0,2,0%,62
坦桑尼亚,0,2,0%,71
蒙古,0,2,0%,73.5
巴哈马,0,1,0%,2
毛里塔尼亚,0,1,0%,2
乌兹别克斯坦,0,1,0%,2
伊朗,0,1,0%,5
马里,0,1,0%,5
古巴,0,1,0%,10
布基纳法索,0,1,0%,14
多哥,0,1,0%,19
贝宁,0,1,0%,31
加蓬,0,1,0%,40
圣卢西亚,0,1,0%,44
卢旺达,0,1,0%,58
老挝,0,1,0%,77
科索沃,0,1,0%,78
巴布亚新几内亚,0,1,0%,82
阿富汗,0,1,0%,84
摩纳哥,0,1,0%,96
