国家/地区,点击次数,展示,点击率,排名
美国,2,372,0.54%,27.31
韩国,2,83,2.41%,25.48
也门,2,11,18.18%,8.27
日本,1,109,0.92%,36.26
台湾,1,44,2.27%,52.48
沙特阿拉伯,1,10,10%,48.8
埃及,1,8,12.5%,32.75
法国,0,416,0%,32.46
巴西,0,269,0%,55.69
西班牙,0,173,0%,59.27
墨西哥,0,142,0%,59.77
俄罗斯,0,109,0%,34.32
德国,0,97,0%,62.52
乌克兰,0,77,0%,50
意大利,0,75,0%,47.55
哥伦比亚,0,65,0%,64.89
阿根廷,0,64,0%,56.45
白俄罗斯,0,43,0%,22.77
秘鲁,0,40,0%,59.02
葡萄牙,0,39,0%,56.85
叙利亚,0,33,0%,9.27
荷兰,0,33,0%,58.09
智利,0,27,0%,58.37
加拿大,0,22,0%,41.05
摩洛哥,0,19,0%,18.37
委内瑞拉,0,19,0%,39.11
奥地利,0,19,0%,64.79
比利时,0,17,0%,34.18
印度,0,17,0%,35.47
厄瓜多尔,0,17,0%,53.65
英国,0,15,0%,19.87
波兰,0,12,0%,25.67
土耳其,0,11,0%,64.09
瑞士,0,10,0%,68.9
巴基斯坦,0,7,0%,33.29
保加利亚,0,6,0%,7.33
中国,0,6,0%,18.5
越南,0,6,0%,30.83
爱尔兰,0,6,0%,33.5
中国香港,0,6,0%,36.67
哥斯达黎加,0,6,0%,78
阿曼,0,5,0%,10.4
立陶宛,0,5,0%,25.4
菲律宾,0,5,0%,34.4
挪威,0,5,0%,37.4
澳大利亚,0,5,0%,39.6
以色列,0,5,0%,41
塞尔维亚,0,5,0%,55
尼加拉瓜,0,5,0%,55.4
危地马拉,0,5,0%,58.4
哈萨克斯坦,0,4,0%,32.25
匈牙利,0,4,0%,52.5
尼日利亚,0,4,0%,56
罗马尼亚,0,4,0%,57
巴拉圭,0,4,0%,62.25
洪都拉斯,0,4,0%,62.75
巴勒斯坦,0,3,0%,9.67
芬兰,0,3,0%,19.33
新西兰,0,3,0%,35.33
捷克,0,3,0%,38
希腊,0,3,0%,38
新加坡,0,3,0%,48
印度尼西亚,0,3,0%,54.67
泰国,0,3,0%,56.33
埃塞俄比亚,0,3,0%,58
克罗地亚,0,3,0%,70.33
喀麦隆,0,2,0%,5
马其顿,0,2,0%,5.5
南非,0,2,0%,6
塞浦路斯,0,2,0%,7
伊拉克,0,2,0%,9.5
科威特,0,2,0%,11
格鲁吉亚,0,2,0%,21.5
阿塞拜疆,0,2,0%,23.5
阿尔及利亚,0,2,0%,32
丹麦,0,2,0%,37
孟加拉,0,2,0%,40
肯尼亚,0,2,0%,46.5
波斯尼亚和黑塞哥维那,0,2,0%,70.5
斯洛伐克,0,2,0%,79
阿尔巴尼亚,0,1,0%,2
毛里塔尼亚,0,1,0%,2
波多黎各,0,1,0%,4
吉尔吉斯斯坦,0,1,0%,5
马达加斯加,0,1,0%,6
斯里兰卡,0,1,0%,8
拉脱维亚,0,1,0%,8
马来西亚,0,1,0%,8
阿拉伯联合酋长国,0,1,0%,9
约旦,0,1,0%,9
萨尔瓦多,0,1,0%,9
未知地区,0,1,0%,11
多哥,0,1,0%,19
贝宁,0,1,0%,31
瑞典,0,1,0%,37
加蓬,0,1,0%,40
安哥拉,0,1,0%,48
刚果 - 金沙萨,0,1,0%,48
突尼斯,0,1,0%,66
玻利维亚,0,1,0%,67
多米尼加共和国,0,1,0%,72
巴林,0,1,0%,75
斯洛文尼亚,0,1,0%,78
科索沃,0,1,0%,78
巴拿马,0,1,0%,81
乌拉圭,0,1,0%,103
留尼汪岛,0,1,0%,146
