国家/地区,点击次数,展示,点击率,排名
俄罗斯,11,412,2.67%,8.79
日本,3,487,0.62%,9.79
乌克兰,2,194,1.03%,10.71
秘鲁,2,44,4.55%,10.09
荷兰,2,30,6.67%,8.37
未知地区,2,23,8.7%,5.96
墨西哥,1,248,0.4%,10.17
哈萨克斯坦,1,83,1.2%,7.55
英国,1,30,3.33%,12.7
埃及,1,7,14.29%,8.71
西班牙,0,240,0%,12.45
委内瑞拉,0,122,0%,9.32
美国,0,121,0%,24.65
厄瓜多尔,0,108,0%,8.98
智利,0,99,0%,9.89
德国,0,81,0%,29.62
乌拉圭,0,54,0%,9.43
危地马拉,0,51,0%,9.63
玻利维亚,0,49,0%,9.67
韩国,0,41,0%,25.15
巴拉圭,0,37,0%,9.81
白俄罗斯,0,21,0%,6.14
洪都拉斯,0,19,0%,9
哥斯达黎加,0,18,0%,9.33
萨尔瓦多,0,17,0%,8.88
印度,0,16,0%,10
巴拿马,0,15,0%,8.93
多米尼加共和国,0,15,0%,9.33
沙特阿拉伯,0,15,0%,15.73
意大利,0,15,0%,30.53
阿根廷,0,13,0%,14.85
菲律宾,0,13,0%,18.69
加拿大,0,12,0%,17.75
法国,0,12,0%,33.67
巴基斯坦,0,9,0%,35.22
波兰,0,8,0%,8
印度尼西亚,0,8,0%,21.12
哥伦比亚,0,7,0%,13.14
泰国,0,7,0%,13.86
拉脱维亚,0,6,0%,8.67
土耳其,0,6,0%,12.17
尼加拉瓜,0,6,0%,17.5
叙利亚,0,5,0%,6
芬兰,0,5,0%,8.6
孟加拉,0,5,0%,17
越南,0,5,0%,20.4
巴西,0,5,0%,28.2
伊朗,0,4,0%,8.25
奥地利,0,4,0%,8.75
罗马尼亚,0,4,0%,9.5
澳大利亚,0,4,0%,9.75
中国香港,0,3,0%,3
比利时,0,3,0%,8
瑞典,0,3,0%,8.33
捷克,0,3,0%,8.67
挪威,0,3,0%,8.67
格鲁吉亚,0,3,0%,9
阿塞拜疆,0,3,0%,9.33
爱沙尼亚,0,3,0%,9.33
匈牙利,0,3,0%,9.67
阿尔及利亚,0,3,0%,21.67
塞浦路斯,0,3,0%,24
阿拉伯联合酋长国,0,3,0%,29.67
台湾,0,3,0%,47.33
中国,0,2,0%,4.5
立陶宛,0,2,0%,4.5
巴勒斯坦,0,2,0%,6.5
亚美尼亚,0,2,0%,7
乌兹别克斯坦,0,2,0%,7.5
也门,0,2,0%,8
保加利亚,0,2,0%,9
葡萄牙,0,2,0%,9
新加坡,0,2,0%,9
瑞士,0,2,0%,9.5
丹麦,0,2,0%,9.5
吉尔吉斯斯坦,0,2,0%,9.5
爱尔兰,0,2,0%,10.5
南非,0,2,0%,11
马来西亚,0,2,0%,21
摩洛哥,0,2,0%,37
新西兰,0,2,0%,38.5
关岛,0,1,0%,7
肯尼亚,0,1,0%,8
马拉维,0,1,0%,8
安道尔,0,1,0%,9
克罗地亚,0,1,0%,9
约旦,0,1,0%,9
科威特,0,1,0%,9
摩尔多瓦,0,1,0%,9
马尔代夫,0,1,0%,9
土库曼斯坦,0,1,0%,9
古巴,0,1,0%,10
以色列,0,1,0%,10
塞尔维亚,0,1,0%,10
斯里兰卡,0,1,0%,11
希腊,0,1,0%,38
安哥拉,0,1,0%,58
尼泊尔,0,1,0%,69
