时间 (UTC+08:00),点击次数,展示,点击率,排名
2026-08-03T13:00:00,0,114,0%,12.7
2026-08-03T14:00:00,0,135,0%,13.1
2026-08-03T15:00:00,2,123,1.63%,11.2
2026-08-03T16:00:00,1,130,0.77%,10.2
2026-08-03T17:00:00,4,164,2.44%,11.1
2026-08-03T18:00:00,3,177,1.69%,11.2
2026-08-03T19:00:00,2,168,1.19%,15.3
2026-08-03T20:00:00,2,152,1.32%,13.6
2026-08-03T21:00:00,1,176,0.57%,11.5
2026-08-03T22:00:00,0,154,0%,9.6
2026-08-03T23:00:00,2,140,1.43%,12
2026-08-04T00:00:00,2,141,1.42%,9.6
2026-08-04T01:00:00,1,134,0.75%,14.5
2026-08-04T02:00:00,1,130,0.77%,11.1
2026-08-04T03:00:00,2,162,1.23%,13.3
2026-08-04T04:00:00,0,115,0%,10.7
2026-08-04T05:00:00,1,122,0.82%,11.3
2026-08-04T06:00:00,1,112,0.89%,11.5
2026-08-04T07:00:00,0,83,0%,12.3
2026-08-04T08:00:00,0,107,0%,11.9
2026-08-04T09:00:00,0,95,0%,10.8
2026-08-04T10:00:00,1,79,1.27%,10.7
2026-08-04T11:00:00,0,36,0%,8.7
2026-08-04T12:00:00,0,1,0%,11
