日期,点击次数,展示,点击率,排名
2026-07-06,20,2518,0.79%,10.2
2026-07-07,22,2252,0.98%,12.5
2026-07-08,18,2320,0.78%,13.7
2026-07-09,22,2711,0.81%,11.7
2026-07-10,18,1999,0.9%,14
2026-07-11,15,1152,1.3%,15.8
2026-07-12,17,1269,1.34%,15.5
2026-07-13,21,2098,1%,15.7
2026-07-14,19,2107,0.9%,11.9
2026-07-15,20,2207,0.91%,11.2
2026-07-16,20,2135,0.94%,10.6
2026-07-17,18,2115,0.85%,11
2026-07-18,13,1747,0.74%,11.4
2026-07-19,13,1981,0.66%,13
2026-07-20,23,2940,0.78%,10.6
2026-07-21,24,3226,0.74%,9.7
2026-07-22,27,1873,1.44%,10.7
2026-07-23,21,2212,0.95%,10.7
2026-07-24,17,1661,1.02%,11.5
2026-07-25,10,1225,0.82%,12.3
2026-07-26,14,1388,1.01%,13.3
2026-07-27,15,1780,0.84%,11.9
2026-07-28,18,1869,0.96%,12.2
2026-07-29,18,1875,0.96%,12.9
2026-07-30,18,2001,0.9%,12
2026-07-31,19,2895,0.66%,11.3
2026-08-01,14,2505,0.56%,13
2026-08-02,14,2402,0.58%,13.4
