日期,点击次数,展示,点击率,排名
2026-05-03,1,373,0.27%,47.5
2026-05-04,1,450,0.22%,45.4
2026-05-05,6,565,1.06%,50.4
2026-05-06,4,369,1.08%,39.4
2026-05-07,2,465,0.43%,47.7
2026-05-08,2,414,0.48%,48.1
2026-05-09,2,430,0.47%,44.1
2026-05-10,1,571,0.18%,39
2026-05-11,3,541,0.55%,44.6
2026-05-12,3,507,0.59%,37.8
2026-05-13,1,375,0.27%,37.3
2026-05-14,1,406,0.25%,44.2
2026-05-15,1,454,0.22%,44
2026-05-16,1,519,0.19%,42.7
2026-05-17,3,495,0.61%,39.2
2026-05-18,2,479,0.42%,39.5
2026-05-19,8,534,1.5%,33.6
2026-05-20,3,552,0.54%,37.7
2026-05-21,6,430,1.4%,27.6
2026-05-22,1,368,0.27%,31.8
2026-05-23,2,389,0.51%,31
2026-05-24,2,347,0.58%,32
2026-05-25,5,453,1.1%,29.7
2026-05-26,6,484,1.24%,24.1
2026-05-27,2,608,0.33%,25.1
2026-05-28,6,586,1.02%,23.9
2026-05-29,4,557,0.72%,27.8
2026-05-30,5,490,1.02%,26.9
2026-05-31,0,577,0%,26.8
2026-06-01,4,557,0.72%,26.5
2026-06-02,3,404,0.74%,20.9
2026-06-03,8,683,1.17%,21.8
2026-06-04,8,675,1.19%,18
2026-06-05,4,543,0.74%,21.1
2026-06-06,6,530,1.13%,22.8
2026-06-07,8,689,1.16%,18.6
2026-06-08,11,1172,0.94%,16.4
2026-06-09,10,1211,0.83%,13.5
2026-06-10,3,1250,0.24%,15.3
2026-06-11,7,1275,0.55%,13.3
2026-06-12,7,1134,0.62%,14.5
2026-06-13,7,1065,0.66%,16.5
2026-06-14,7,1208,0.58%,16.7
2026-06-15,12,1833,0.65%,12.8
2026-06-16,13,1774,0.73%,12.8
2026-06-17,10,1926,0.52%,13.2
2026-06-18,10,1839,0.54%,12.4
2026-06-19,19,1771,1.07%,12.6
2026-06-20,13,1424,0.91%,11.5
2026-06-21,6,1599,0.38%,11.8
2026-06-22,21,2077,1.01%,12
2026-06-23,25,1741,1.44%,12.1
2026-06-24,26,2025,1.28%,11.3
2026-06-25,21,2524,0.83%,11.1
2026-06-26,10,2510,0.4%,11.2
2026-06-27,13,1618,0.8%,12.6
2026-06-28,11,1618,0.68%,11.3
2026-06-29,13,2126,0.61%,11.6
2026-06-30,19,2335,0.81%,13.4
2026-07-01,14,1843,0.76%,12.6
2026-07-02,25,2136,1.17%,10.3
2026-07-03,20,2184,0.92%,10.4
2026-07-04,28,1855,1.51%,10.4
2026-07-05,21,2170,0.97%,10.1
2026-07-06,20,2518,0.79%,10.2
2026-07-07,22,2252,0.98%,12.5
2026-07-08,18,2320,0.78%,13.7
2026-07-09,22,2711,0.81%,11.7
2026-07-10,18,1999,0.9%,14
2026-07-11,15,1152,1.3%,15.8
2026-07-12,17,1269,1.34%,15.5
2026-07-13,21,2098,1%,15.7
2026-07-14,19,2107,0.9%,11.9
2026-07-15,20,2207,0.91%,11.2
2026-07-16,20,2135,0.94%,10.6
2026-07-17,18,2115,0.85%,11
2026-07-18,13,1747,0.74%,11.4
2026-07-19,13,1981,0.66%,13
2026-07-20,23,2940,0.78%,10.6
2026-07-21,24,3226,0.74%,9.7
2026-07-22,27,1873,1.44%,10.7
2026-07-23,21,2212,0.95%,10.7
2026-07-24,17,1661,1.02%,11.5
2026-07-25,10,1225,0.82%,12.3
2026-07-26,14,1388,1.01%,13.3
2026-07-27,15,1780,0.84%,11.9
2026-07-28,18,1869,0.96%,12.2
2026-07-29,18,1875,0.96%,12.9
2026-07-30,18,2001,0.9%,12
2026-07-31,19,2895,0.66%,11.3
2026-08-01,14,2505,0.56%,13
2026-08-02,14,2402,0.58%,13.4
